Country,Date,Sentiment Score,Positive,Negative
BR,2020-04-12,-0.03809523828571428,3,4
JP,2020-04-12,-0.0533333336,1,4
FR,2020-04-12,-0.0533333336,1,4
GB,2020-04-12,0.1392929142363636,45,10
NZ,2020-04-12,0.016112013,1,1
CH,2020-04-12,-0.0533333336,1,4
GH,2020-04-12,-0.0486111112,4,1
DE,2020-04-12,0.12302631568421053,14,5
ES,2020-04-12,-0.005952381166666664,2,4
IN,2020-04-12,0.18250453756249996,58,6
NL,2020-04-12,0.3000334596,10,5
MY,2020-04-12,0.005555555333333327,2,4
ZA,2020-04-12,0.14513888883333337,6,6
PK,2020-04-12,0.0499305555,1,3
US,2020-04-12,0.2093545695635358,163,18
BE,2020-04-12,0.20888723533333337,4,5
AE,2020-04-12,-0.13333333333333333,2,1
TH,2020-04-12,0.006944444166666661,1,5
SE,2020-04-12,-0.04206349216666667,2,4
ZA,2020-04-13,0.0015759511818181865,5,6
DE,2020-04-13,0.08038194424999999,5,7
IE,2020-04-13,-0.03253968277777778,3,6
NZ,2020-04-13,0.016112013,1,1
JP,2020-04-13,-0.05000000025,2,6
ID,2020-04-13,0.157142857,2,1
NG,2020-04-13,0.09462239580000001,7,3
CA,2020-04-13,0.12650805673333335,12,3
US,2020-04-13,0.196425140447205,134,27
PK,2020-04-13,0.17162878775,3,1
CH,2020-04-13,-0.054166666875000005,1,7
GB,2020-04-13,0.2081743898913043,42,4
NL,2020-04-13,0.03900058276923076,5,8
IT,2020-04-13,-2.8571428358135723e-10,1,6
KR,2020-04-13,0.006938243749999996,2,6
ES,2020-04-13,-0.03750000025,2,6
RU,2020-04-13,0.003124999874999996,1,7
GH,2020-04-13,-0.16666666666666666,2,1
BE,2020-04-13,-0.03265285999999999,6,7
IN,2020-04-13,0.16555194802325582,35,8
IL,2020-04-13,-0.040476190714285716,1,6
MY,2020-04-13,-0.032589286,1,6
BR,2020-04-13,-0.041666666875,3,5
UG,2020-04-14,-0.020833333333333332,1,2
NL,2020-04-14,-0.002083333333333326,6,3
ES,2020-04-14,0.16388888866666665,1,2
IL,2020-04-14,0.02604166649999999,1,3
DE,2020-04-14,0.09274691344444445,5,4
ZA,2020-04-14,0.0695714284,6,4
IN,2020-04-14,0.09464412862295082,53,8
KR,2020-04-14,-0.02500000025,2,2
GB,2020-04-14,0.06446277370588235,25,9
IT,2020-04-14,-0.06666666666666667,1,2
MY,2020-04-14,-0.044444444666666666,1,2
US,2020-04-14,0.12486079462589925,116,23
BE,2020-04-14,-0.05,2,2
PH,2020-04-14,-0.0425,1,1
KE,2020-04-14,0.146031746,6,1
NG,2020-04-14,0.016264619842105258,14,5
ES,2020-04-15,0.20833333299999998,1,1
IT,2020-04-15,0.45,1,1
GB,2020-04-15,-0.00383361367647059,25,9
BE,2020-04-15,-0.022916666749999995,2,2
CH,2020-04-15,0.020707070666666664,1,2
IN,2020-04-15,0.09371773688235295,28,6
PL,2020-04-15,-0.0333333335,1,1
NG,2020-04-15,0.17875344345454547,9,2
ZA,2020-04-15,0.24383116871428576,6,1
CN,2020-04-15,-0.4545454546666667,1,2
MY,2020-04-15,-0.0333333335,1,1
NL,2020-04-15,0.15416666666666665,5,1
DE,2020-04-15,0.17819865322222225,8,1
DK,2020-04-15,-0.04,1,2
JP,2020-04-15,0.12222222199999999,2,1
US,2020-04-15,0.10794699756349206,105,21
FR,2020-04-15,0.164280303,3,1
IE,2020-04-15,0.008333333250000002,3,1
BR,2020-04-15,-0.0333333335,1,1
ID,2020-04-15,0.20311791385714287,6,1
KE,2020-04-15,0.17645502633333335,2,1
BR,2020-04-16,0.07499999974999999,1,3
NG,2020-04-16,0.11042410712500002,12,4
NZ,2020-04-16,-0.0558035715,1,1
RU,2020-04-16,-0.021666666799999998,2,3
US,2020-04-16,0.11897984392948716,132,24
DK,2020-04-16,-0.0087500002,2,3
CH,2020-04-16,-0.015909091250000004,1,3
IN,2020-04-16,0.1396322219411765,56,12
JP,2020-04-16,-0.034375000249999996,1,3
NL,2020-04-16,0.1617271705833333,7,5
ES,2020-04-16,0.19133333319999996,2,3
IT,2020-04-16,0.03928571433333334,3,3
GB,2020-04-16,0.14956753889743593,31,8
ZA,2020-04-16,-0.0331746034,2,3
IL,2020-04-16,-0.050000000249999996,1,3
AU,2020-04-16,0.03434343433333333,2,1
MY,2020-04-16,0.012499999749999997,1,3
DE,2020-04-16,0.048177390727272736,8,3
SE,2020-04-16,0.14724431799999999,5,3
NG,2020-04-17,0.015195312500000002,13,3
DE,2020-04-17,0.13844696950000002,3,1
IT,2020-04-17,-0.05,1,1
JP,2020-04-17,0.05809523800000001,4,1
GB,2020-04-17,0.1470350185,22,6
US,2020-04-17,0.14421171451282055,134,22
GH,2020-04-17,-0.13333333333333333,1,2
IN,2020-04-17,0.1044740886956522,42,4
AE,2020-04-17,0.074810606,5,1
DK,2020-04-17,0.07777777766666666,2,1
CH,2020-04-17,0.16909722225,3,1
BE,2020-04-17,0.06853512799999999,5,2
NL,2020-04-17,0.043769841200000006,3,2
IL,2020-04-17,-0.022222222333333333,2,1
ZA,2020-04-17,0.1284151032857143,5,2
PK,2020-04-17,0.0991111112,4,1
ES,2020-04-17,0.13958333325,3,1
IE,2020-04-18,-0.014748677285714272,3,4
NG,2020-04-18,0.08992500999999999,42,5
DE,2020-04-18,0.1566666666,4,1
CN,2020-04-18,-0.0875,3,1
AU,2020-04-18,0.13198520226923077,25,1
KE,2020-04-18,-0.0877777778,4,1
US,2020-04-18,0.09141681602857138,379,146
MY,2020-04-18,0.2024170275,5,1
AR,2020-04-18,-0.15,1,1
JP,2020-04-18,0.292857143,2,1
IN,2020-04-18,0.18359589159999998,59,6
AE,2020-04-18,0.10833333336363636,8,3
SG,2020-04-18,0.1075,3,2
PK,2020-04-18,0.1530324075,3,3
CA,2020-04-18,0.12840077510769227,57,8
IT,2020-04-18,-0.041547067916666666,7,5
PL,2020-04-18,-0.1392045455,1,1
FR,2020-04-18,-0.111111111,2,1
GB,2020-04-18,0.13344798071578945,80,15
NL,2020-04-18,0.15904562749999998,5,1
GB,2020-04-19,0.08831823903225813,97,27
BE,2020-04-19,-0.15,1,2
AU,2020-04-19,0.2014326299,18,2
IT,2020-04-19,-0.025595238071428574,7,7
NG,2020-04-19,0.18069569323076926,22,4
ID,2020-04-19,0.11175390263636364,6,5
KH,2020-04-19,0.015000000000000013,1,1
ES,2020-04-19,-0.139583333375,5,3
CA,2020-04-19,0.1497970328695652,40,6
JP,2020-04-19,0.02978174599999999,6,4
IN,2020-04-19,0.191062669328125,61,3
BR,2020-04-19,0.0018518518333333345,5,1
IL,2020-04-19,-0.2,1,1
ZA,2020-04-19,0.09952651516666668,10,2
PH,2020-04-19,0.1509682539,9,1
AE,2020-04-19,0.18686868700000003,5,1
BY,2020-04-19,-0.030555555666666668,1,2
TH,2020-04-19,-0.25,2,1
IE,2020-04-19,0.1185185185,4,2
CH,2020-04-19,0.07604166662499999,6,2
US,2020-04-19,0.11125732140568471,302,85
FR,2020-04-19,0.11111111099999998,2,2
BY,2020-04-22,0.004166666500000006,1,1
US,2020-04-22,0.1055114484704225,276,79
SG,2020-04-22,0.2476641412727273,8,3
GR,2020-04-22,-0.075,1,1
CH,2020-04-22,-0.2270833335,1,1
CL,2020-04-22,-0.5,1,1
CA,2020-04-22,0.2009287340833333,38,10
JP,2020-04-22,-0.0643434345,2,4
NL,2020-04-22,-0.07321428577777778,7,2
NZ,2020-04-22,-0.03833333350000002,4,2
GB,2020-04-22,0.13236908497087374,89,14
AE,2020-04-22,-0.006363636399999995,4,1
PL,2020-04-22,-0.023148148125,6,2
TH,2020-04-22,-0.007166666700000002,7,3
AU,2020-04-22,0.19391607044444442,15,3
IL,2020-04-22,-0.163425926,2,4
ZA,2020-04-22,0.17142857142857143,6,1
MY,2020-04-22,0.23367003383333332,16,2
IQ,2020-04-22,-0.3133333334,2,3
IN,2020-04-22,0.13320369274545452,51,4
BE,2020-04-22,-0.060000000000000005,2,1
PK,2020-04-22,0.34348356014285714,5,2
KR,2020-04-22,-0.03657142860000001,4,1
NG,2020-04-22,0.29696678315384617,23,3
ID,2020-04-22,0.14759421138461537,11,2
DE,2020-04-22,0.0019444445000000089,8,2
TZ,2020-04-22,0.172222222,1,1
FI,2020-04-22,-0.0042857145,1,1
FR,2020-04-22,0.12238095228571429,6,1
IT,2020-04-22,-0.19583333349999998,2,4
IE,2020-04-22,-0.090435606125,4,4
PK,2020-04-23,-0.06777777771428571,5,2
JP,2020-04-23,0.40902777766666665,2,1
CA,2020-04-23,0.12698746391666668,52,8
CH,2020-04-23,-0.047222222333333334,4,2
ZA,2020-04-23,0.11991341988235295,15,2
US,2020-04-23,0.13659456600527695,293,86
BD,2020-04-23,-0.025,1,1
IE,2020-04-23,0.27291666675000004,3,1
RU,2020-04-23,-0.20138888900000002,2,2
NZ,2020-04-23,0.10585430174999999,3,1
PH,2020-04-23,0.007272727199999995,4,1
ES,2020-04-23,0.03698412699999999,4,3
BR,2020-04-23,-0.170138889,1,3
DE,2020-04-23,0.14446022725,2,2
IN,2020-04-23,0.15444566835714285,47,9
GB,2020-04-23,0.06935130107547169,91,15
TH,2020-04-23,-0.027777777833333333,4,2
SE,2020-04-23,-0.20124999999999998,2,3
JM,2020-04-23,-0.008035714499999999,1,1
IT,2020-04-23,0.1436507937142857,5,2
BY,2020-04-23,-0.03888888899999999,1,2
BE,2020-04-23,-0.14375000000000002,4,2
NG,2020-04-23,0.13504601876923075,23,3
GB,2020-04-24,0.14016832873118273,81,12
US,2020-04-24,0.12776092963112376,285,62
IE,2020-04-24,0.038888889,4,2
AE,2020-04-24,0.050776515099999996,7,3
DE,2020-04-24,0.096,4,1
AU,2020-04-24,0.20894971544444446,16,2
SG,2020-04-24,0.1494107743333333,1,2
CA,2020-04-24,0.05707890742222222,35,10
PK,2020-04-24,0.06041666650000001,1,1
CD,2020-04-24,-0.3,1,1
NL,2020-04-24,0.12057291675000001,3,1
